OBJECTID,LINKID,DATA_DATE,ROUTE_COMMON_NAME,ROUTE_NAME,HTRIS_ID,ROUTE_ALIAS,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,K_FACTOR,K_FACTOR_QUALITY_CODE,DIRECTION_FACTOR,AAWDT,AAWDT_QUALITY_CODE,LOC_COMP_DIRECTIONALITY_NAME,ROUTE_FROM_MEASURE,FROM_JURISDICTION,ROUTE_TO_MEASURE,TO_JURISDICTION,PEAK_SINGLE_UNIT_TRUCK,PEAK_COMBINATION_TRUCK,EVENT_SOURCE_ID,EVENT_LOCATION_ID,EVENT_COMPONENT_ID,MAXIMUMSCALEDENOMINATOR,ROUTE_COMMON_NAME_ADT,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,RTE_ID,DATA_CUSTODIAN_EMAIL,METADATA_URL,Shape__Length
5363,771889,2018/01/24 05:00:00+00,SC-1306E (Southampton County),R-VA087SC01306EB,  8701306     ,87-1306 Virginia Ave,SR 35 Meherrin Rd,87-1307 Elizabeth St,190,R,,,,,,,X,,X,,,X,Bidirectional,0,Southampton County,0.12,Southampton County,,,771889,1,1,48000,SC-1306E (Southampton County) - ADT 190,Hampton Roads,Hampton Roads,SC,1542750,,,272.2880482045
5437,677708,2021/01/01 05:00:00+00,Atlantic AVE (PR - City of Virginia Beach),S-VA134PR ATLANTIC AVE,6396,134-8719 Atlantic Ave,17th St,21st St,12000,F,94.40417,0.45784,4.57841,0.36882,0.19077,0,F,0.0723,F,0.5024,13000,F,Bidirectional,1.33,City of Virginia Beach,1.61,City of Virginia Beach,0.21907,0,677708,1,1,200000,Atlantic AVE (PR - City of Virginia Beach) - ADT 12000,Hampton Roads,Hampton Roads,ST,9198729,,,558.464771084002
5453,747467,2016/10/26 04:00:00+00,SC-1310E (James City County),R-VA047SC01310EB,  4701310     ,47-1310 Berkeleys Green,Cul-de-Sac,47-1316 Southport Trail,650,R,,,,,,,X,,X,,,X,Bidirectional,0,James City County,0.07,James City County,,,747467,1,1,48000,SC-1310E (James City County) - ADT 650,Hampton Roads,Hampton Roads,SC,1643189,,,151.812781299452
5468,771937,2018/03/09 05:00:00+00,SC-1501E (Southampton County),R-VA087SC01501EB,  8701501     ,87-1501 Bruce St,SR 35 Main St,87-1503 High St,300,R,,,,,,,X,,X,,,X,Bidirectional,0,Southampton County,0.09,Southampton County,,,771937,1,1,48000,SC-1501E (Southampton County) - ADT 300,Hampton Roads,Hampton Roads,SC,1542824,,,177.267556670899
5493,779443,2016/04/26 04:00:00+00,SC-1216E (York County),R-VA099SC01216EB,  9901216     ,99-1216 Whites Rd,"99-1294, 2nd St","99-1217, 1st St",100,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.07,York County,,,779443,1,1,24000,SC-1216E (York County) - ADT 100,Hampton Roads,Hampton Roads,SC,2038864,,,125.79064700233
5502,654129,2021/01/01 05:00:00+00,VA-194N,R-VA   SR00194NB,  SR00194     ,VA 194 Chesapeake Blvd,Norview Ave,I-64,17000,G,96.58491,0.67193,1.62763,0.5545,0.55124,0.00979,F,0.0901,F,0.5346,18000,G,Master Prime,1.63,City of Norfolk,2.407,City of Norfolk,0.15768,0.02523,654129,1,1,400000,VA-194N - ADT 17000,Hampton Roads,Hampton Roads,SR,1699446,,,1599.17488496433
5514,779829,2016/03/31 04:00:00+00,SC-1541N (York County),R-VA099SC01541NB,  9901541     ,99-1541 Sinclair Lane,SR 171 Victory Blvd,99-1542 Collen Dr,80,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.14,York County,,,779829,1,1,24000,SC-1541N (York County) - ADT 80,Hampton Roads,Hampton Roads,SC,1942559,,,280.224443286449
5516,786441,2016/10/26 04:00:00+00,SC-1564N (James City County),R-VA047SC01564NB,  4701564     ,47-1564 Boxwood Lane,47-1571 Oakwood Dr,47-1562 Driftwood Way,190,R,,,,,,,X,,X,,,X,Bidirectional,0.24,James City County,0.35,James City County,,,786441,1,1,24000,SC-1564N (James City County) - ADT 190,Hampton Roads,Hampton Roads,SC,1865110,,,252.084726636536
5521,780248,2016/04/19 04:00:00+00,SC-1843E (York County),R-VA099SC01843EB,  9901843     ,99-1843 Hundley Dr,US 17 George Washington Mem Hwy,99-1840 Bridge Wood Dr,2500,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.08,York County,,,780248,1,1,24000,SC-1843E (York County) - ADT 2500,Hampton Roads,Hampton Roads,SC,1943889,,,205.069229767419
5545,747469,2016/10/26 04:00:00+00,SC-1310E (James City County),R-VA047SC01310EB,  4701310     ,47-1310 Berkeleys Green,47-1311 Wexford Run,47-614 Greensprings Rd,1200,R,,,,,,,X,,X,,,X,Bidirectional,0.25,James City County,0.322,James City County,,,747469,1,1,48000,SC-1310E (James City County) - ADT 1200,Hampton Roads,Hampton Roads,SC,1643189,,,145.801138638768
5555,780379,2017/02/02 05:00:00+00,FR-131S,R-VA   FR00131SB,  FR00131S    ,FR 131 Clover Leaf Dr,"US 58; Bus US 58",Dead End,220,R,,,,,,,X,,X,,,X,Master Non-Prime,0.015,City of Emporia,0.081,City of Emporia,,,780379,1,4,24000,FR-131S - ADT 220,Hampton Roads,Hampton Roads,FR,2365769,,,134.695337055399
5562,785226,2018/01/24 05:00:00+00,SC-1312E (Southampton County),R-VA087SC01312EB,  8701312     ,87-1312 Bass St,WCL Boykins,"SR 35 N, Meherrin Rd",360,R,,,,,,,X,,X,,,X,Bidirectional,0.1,Southampton County,0.19,Southampton County,,,785226,1,1,48000,SC-1312E (Southampton County) - ADT 360,Hampton Roads,Hampton Roads,SC,1542794,,,173.048431128556
5564,700976,2017/10/24 04:00:00+00,SC-2503E (Accomack County),R-VA001SC02503EB,  0102503     ,01-2503 Marshall St,01-2513 Pruitt St,SR 316 Bayside Dr,200,R,,,,,,,X,,X,,,X,Bidirectional,0.067,Accomack County,0.15,Accomack County,,,700976,1,1,48000,SC-2503E (Accomack County) - ADT 200,Hampton Roads,Hampton Roads,SC,1373422,,,180.043156849769
5569,300104,2021/01/01 05:00:00+00,SC-619N (Greensville County),R-VA040SC00619NB,  4000619     ,40-619 Purdy Rd,"40-613 N, Whitehorne Rd",40-612 Scotland Dr,720,G,91.73015,0.21763,0.65288,2.17628,5.22306,0,C,0.096,F,0.587,700,G,Bidirectional,5.13,Greensville County,6.57,Greensville County,0,0,300104,1,1,200000,SC-619N (Greensville County) - ADT 720,Hampton Roads,Hampton Roads,SC,1640068,,,2884.36068325552
5571,747838,2016/04/19 04:00:00+00,SC-1606N (James City County),R-VA047SC01606NB,  4701606     ,47-1606 Tanbark Lane,"47-1605 N, Elmwood Lane",Dead End,150,R,,,,,,,X,,X,,,X,Bidirectional,0.64,James City County,0.67,James City County,,,747838,1,1,48000,SC-1606N (James City County) - ADT 150,Hampton Roads,Hampton Roads,SC,1632444,,,59.9324479195254
5592,150227,2021/01/01 05:00:00+00,VA-192N,R-VA   SR00192NB,  SR00192     ,VA 192 Azalea Garden Rd,SR 165 Military Hwy,SR 170 Little Creek,13000,G,97.28852,0.49319,1.04071,0.60797,0.572,0.00047,F,0.0869,F,0.5944,14000,G,Bidirectional,0,City of Norfolk,0.483,City of Norfolk,0.23463,0.06604,150227,1,1,400000,VA-192N - ADT 13000,Hampton Roads,Hampton Roads,SR,2031575,,,985.061746207298
5596,700965,2017/10/24 04:00:00+00,SC-2405E (Accomack County),R-VA001SC02405EB,  0102405     ,01-2405 Seaside Ave,01-2409 Ridge Ave,01-2404 Fitzgerald St,8,R,,,,,,,X,,X,,,X,Bidirectional,0,Accomack County,0.08,Accomack County,,,700965,1,1,48000,SC-2405E (Accomack County) - ADT 8,Hampton Roads,Hampton Roads,SC,1605331,,,152.534764449882
5616,742684,2017/01/19 05:00:00+00,SC-682N (Greensville County),R-VA040SC00682NB,  4000682     ,40-682 Airport Dr,US 58 Courtland Rd,Dead End,20,R,,,,,,,X,,X,,,X,Bidirectional,0,Greensville County,0.12,Greensville County,,,742684,1,1,48000,SC-682N (Greensville County) - ADT 20,Hampton Roads,Hampton Roads,SC,2079088,,,175.161142391962
5622,654130,2021/01/01 05:00:00+00,VA-194N,R-VA   SR00194NB,  SR00194     ,VA 194 Chesapeake Blvd,I-64,SR 165 Little Creek Rd,24000,G,96.8721,1.26541,1.30375,0.35607,0.20268,0,F,0.0771,F,0.5867,25000,G,Master Prime,2.407,City of Norfolk,3.35,City of Norfolk,0.11257,0,654130,1,1,400000,VA-194N - ADT 24000,Hampton Roads,Hampton Roads,SR,1699446,,,1939.91874884273
5639,746908,2017/03/02 05:00:00+00,SC-1820N (Isle of Wight County),R-VA046SC01820NB,  4601820     ,46-1820 Belmont St,46-1821 Marlette St,46-1822 Liberty St,210,R,,,,,,,X,,X,,,X,Bidirectional,0.29,Isle of Wight County,0.34,Isle of Wight County,,,746908,1,1,48000,SC-1820N (Isle of Wight County) - ADT 210,Hampton Roads,Hampton Roads,SC,1872331,,,104.035021471087
5645,700284,2017/10/18 04:00:00+00,SC-667N (Accomack County),R-VA001SC00667NB,  0100667     ,01-667 Old County Rd,"01-661 Evans Rd; John Cane Rd",SR 176 Parksley Rd,420,R,,,,,,,X,,X,,,X,Bidirectional,0,Accomack County,0.6,Accomack County,,,700284,1,1,48000,SC-667N (Accomack County) - ADT 420,Hampton Roads,Hampton Roads,SC,2047666,,,1143.82956449014
5666,783131,2014/06/05 04:00:00+00,SC-2521E (Accomack County),R-VA001SC02521EB,  0102521     ,01-2521 Ross Circle,"01-680 W, Berry Rd","01-680 E, Berry Rd",250,R,,,,,,,X,,X,,,X,Bidirectional,0,Accomack County,0.18,Accomack County,,,783131,1,1,48000,SC-2521E (Accomack County) - ADT 250,Hampton Roads,Hampton Roads,SC,1948655,,,382.048946650561
5673,778978,2016/03/31 04:00:00+00,SC-652E (York County),R-VA099SC00652EB,  9900652     ,99-652 Claxton Creek Rd,99-625 Purgold Rd,Dead End,60,R,,,,,,,X,,X,,,X,Bidirectional,0.32,York County,0.42,York County,,,778978,1,1,24000,SC-652E (York County) - ADT 60,Hampton Roads,Hampton Roads,SC,1594332,,,709.547545212261
5677,779444,2016/04/26 04:00:00+00,SC-1216E (York County),R-VA099SC01216EB,  9901216     ,99-1216 Whites Rd,"99-1217, 1st St",US 17 George Washington Mem Hwy,210,R,,,,,,,X,,X,,,X,Bidirectional,0.07,York County,0.17,York County,,,779444,1,1,24000,SC-1216E (York County) - ADT 210,Hampton Roads,Hampton Roads,SC,2038864,,,167.563837183196
5682,701035,2014/06/05 04:00:00+00,SC-9640N (Accomack County),R-VA001SC09640NB,  0109640     ,01-9640,01-684 Mitchell Rd,Bloxom High School,190,R,,,,,,,X,,X,,,X,Bidirectional,0,Accomack County,0.06,Accomack County,,,701035,1,1,48000,SC-9640N (Accomack County) - ADT 190,Hampton Roads,Hampton Roads,SC,1948671,,,103.835369546481
5685,788651,2016/10/26 04:00:00+00,SC-1564N (James City County),R-VA047SC01564NB,  4701564     ,47-1564 Boxwood Lane,47-1565 Teakwood Dr,47-1571 Oakwood Dr,140,R,,,,,,,X,,X,,,X,Bidirectional,0,James City County,0.24,James City County,,,788651,1,1,24000,SC-1564N (James City County) - ADT 140,Hampton Roads,Hampton Roads,SC,1865110,,,488.382243624465
5686,700977,2017/10/24 04:00:00+00,SC-2504N (Accomack County),R-VA001SC02504NB,  0102504     ,01-2504 Hearn St,SR 187 Shoremain Dr,01-2502 Hinman St,90,R,,,,,,,X,,X,,,X,Bidirectional,0,Accomack County,0.11,Accomack County,,,700977,1,1,48000,SC-2504N (Accomack County) - ADT 90,Hampton Roads,Hampton Roads,SC,1948621,,,236.940385018903
5692,300102,2021/01/01 05:00:00+00,SC-619N (Greensville County),R-VA040SC00619NB,  4000619     ,40-619 Purdy Rd,40-681 Everetts Lake Rd,40-606 Grassy Pond Rd,1200,G,93.47397,0.3296,0.79103,1.77983,3.62558,0,C,0.1005,F,0.55,1200,G,Bidirectional,0.43,Greensville County,3.59,Greensville County,0.37688,0.5025,300102,1,1,200000,SC-619N (Greensville County) - ADT 1200,Hampton Roads,Hampton Roads,SC,1640068,,,6356.38812320911
5695,771892,2018/01/24 05:00:00+00,SC-1306E (Southampton County),R-VA087SC01306EB,  8701306     ,87-1306 Virginia Ave,87-1311 Marshall St,Dead End,60,R,,,,,,,X,,X,,,X,Bidirectional,0.27,Southampton County,0.35,Southampton County,,,771892,1,1,48000,SC-1306E (Southampton County) - ADT 60,Hampton Roads,Hampton Roads,SC,1542750,,,138.856281754312
5696,747219,2016/03/01 05:00:00+00,SC-727E (James City County),R-VA047SC00727EB,  4700727     ,47-727 Oxford Rd,Dead End,47-732 Braddock Rd,80,R,,,,,,,X,,X,,,X,Bidirectional,0.23,James City County,0.24,James City County,,,747219,1,1,24000,SC-727E (James City County) - ADT 80,Hampton Roads,Hampton Roads,SC,1758816,,,10.4896471332483
5699,747717,2016/05/02 04:00:00+00,SC-1507E (James City County),R-VA047SC01507EB,  4701507     ,47-1507 Forest Glen Dr,47-1535 Mildred Court,47-1533 Walker Dr,220,R,,,,,,,X,,X,,,X,Bidirectional,0.24,James City County,0.3,James City County,,,747717,1,1,48000,SC-1507E (James City County) - ADT 220,Hampton Roads,Hampton Roads,SC,1632330,,,151.033136795453
5702,775113,2018/04/11 04:00:00+00,SC-601E (Surry County),R-VA090SC00601EB,  9000601     ,90-601 Camera Rd,"SR 40 N, Martin Luther King Hwy",90-614 Three Bridge Rd,110,R,,,,,,,X,,X,,,X,Bidirectional,6.87,Surry County,10.4,Surry County,,,775113,1,1,48000,SC-601E (Surry County) - ADT 110,Hampton Roads,Hampton Roads,SC,1944249,,,6969.04075152237
5734,150227,2021/01/01 05:00:00+00,VA-192N,R-VA   SR00192NB,  SR00192     ,VA 192 Azalea Garden Rd,SR 165 Military Hwy,SR 170 Little Creek,13000,G,97.28852,0.49319,1.04071,0.60797,0.572,0.00047,F,0.0869,F,0.5944,14000,G,Bidirectional,0.683,City of Norfolk,2.02,City of Norfolk,0.23463,0.06604,150227,1,3,400000,VA-192N - ADT 13000,Hampton Roads,Hampton Roads,SR,2031575,,,2648.91614215465
5742,636169,2021/01/01 05:00:00+00,Tide Mill LN (PR - City of Hampton),S-VA114PR TIDE MILL LN,42770,114-7028 Tide Mill Lane,Armistead Ave,Lasalle Ave,6800,G,98.99221,0.55093,0.34265,0.05375,0.06047,0,C,0.1169,F,0.6877,7200,G,Bidirectional,0.005,City of Hampton,1.42,City of Hampton,0.05494,0,636169,1,1,200000,Tide Mill LN (PR - City of Hampton) - ADT 6800,Hampton Roads,Hampton Roads,ST,9100893,,,2712.83777748624
5756,779830,2019/02/21 05:00:00+00,SC-1542E (York County),R-VA099SC01542EB,  9901542     ,99-1542 Collen Dr,Dead End,99-1541 Sinclair Lane,40,T,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.06,York County,,,779830,1,1,24000,SC-1542E (York County) - ADT 40,Hampton Roads,Hampton Roads,SC,2148334,,,96.4556893713484
5761,654237,2021/01/01 05:00:00+00,VA-194N,R-VA   SR00194NB,  SR00194     ,VA 194 Sewells Point Rd,SR 166 Princess Anne Rd,Chesapeake Blvd,14000,G,96.58491,0.67193,1.62763,0.5545,0.55124,0.00979,C,0.0909,F,0.5063,15000,G,Master Prime,0.233,City of Norfolk,1.63,City of Norfolk,0.15908,0.02545,654237,1,2,400000,VA-194N - ADT 14000,Hampton Roads,Hampton Roads,SR,1699446,,,2770.87356552142
5763,771797,2018/09/05 04:00:00+00,SC-728E (Southampton County),R-VA087SC00728EB,  8700728     ,87-728 Guy Place Rd,87-628 Wakefield Rd,87-616 Ivor Rd,180,R,,,,,,,X,,X,,,X,Bidirectional,0,Southampton County,1.6,Southampton County,,,771797,1,1,48000,SC-728E (Southampton County) - ADT 180,Hampton Roads,Hampton Roads,SC,1542605,,,3055.5209567861
5786,778977,2021/01/01 05:00:00+00,SC-652E (York County),R-VA099SC00652EB,  9900652     ,99-652 Claxton Creek Rd,99-718 Back Creek Rd,99-625 Purgold Rd,210,G,93.68932,3.39806,2.91262,0,0,0,C,0.1117,F,0.5217,210,G,Bidirectional,0,York County,0.32,York County,0,0,778977,1,1,24000,SC-652E (York County) - ADT 210,Hampton Roads,Hampton Roads,SC,1594332,,,677.894069403013
5788,700656,2017/07/26 04:00:00+00,SC-1105E (Accomack County),R-VA001SC01105EB,  0101105     ,01-1105 Woodland Ave,01-1109 Lewis St,01-1104 Ridge Ave,190,R,,,,,,,X,,X,,,X,Bidirectional,0.05,Accomack County,0.1,Accomack County,,,700656,1,1,48000,SC-1105E (Accomack County) - ADT 190,Hampton Roads,Hampton Roads,SC,1948343,,,99.1083011837261
5806,747469,2016/10/26 04:00:00+00,SC-1310E (James City County),R-VA047SC01310EB,  4701310     ,47-1310 Berkeleys Green,47-1311 Wexford Run,47-614 Greensprings Rd,1200,R,,,,,,,X,,X,,,X,Master Prime,0.322,James City County,0.45,James City County,,,747469,1,2,48000,SC-1310E (James City County) - ADT 1200,Hampton Roads,Hampton Roads,SC,1643189,,,236.9482030534
5812,747260,2016/01/21 05:00:00+00,SC-761N (James City County),R-VA047SC00761NB,  4700761     ,47-761 Norge Ln,US 60 Richmond Rd,47-630 Peach Street,2100,R,,,,,,,X,,X,,,X,Bidirectional,0,James City County,0.22,James City County,,,747260,1,1,48000,SC-761N (James City County) - ADT 2100,Hampton Roads,Hampton Roads,SC,1641398,,,436.10581971051
5813,747261,2016/01/21 05:00:00+00,SC-761N (James City County),R-VA047SC00761NB,  4700761     ,47-761,47-630 Peach Street,Dead End,20,R,,,,,,,X,,X,,,X,Bidirectional,0.22,James City County,0.26,James City County,,,747261,1,1,48000,SC-761N (James City County) - ADT 20,Hampton Roads,Hampton Roads,SC,1641398,,,57.2680905527526
5830,700669,2017/07/27 04:00:00+00,SC-1112N (Accomack County),R-VA001SC01112NB,  0101112     ,01-1112 Martin St,01-1113 Spruce St,01-1115 Phillips St,170,R,,,,,,,X,,X,,,X,Bidirectional,0,Accomack County,0.082,Accomack County,,,700669,1,1,48000,SC-1112N (Accomack County) - ADT 170,Hampton Roads,Hampton Roads,SC,1948354,,,208.506889068422
5833,700735,2017/10/17 04:00:00+00,SC-1506E (Accomack County),R-VA001SC01506EB,  0101506     ,01-1506 Coley St,Bus US 13,Bus US 13,90,R,,,,,,,X,,X,,,X,Bidirectional,0,Accomack County,0.23,Accomack County,,,700735,1,1,48000,SC-1506E (Accomack County) - ADT 90,Hampton Roads,Hampton Roads,SC,2157134,,,438.806590683329
5844,779489,2016/04/26 04:00:00+00,SC-1235N (York County),R-VA099SC01235NB,  9901235     ,99-1235 Moss Ave,99-1239 Earl St,99-622 Seaford Rd,320,R,,,,,,,X,,X,,,X,Bidirectional,0.19,York County,0.29,York County,,,779489,1,1,24000,SC-1235N (York County) - ADT 320,Hampton Roads,Hampton Roads,SC,1940563,,,221.230366675062
5886,778937,2016/03/23 04:00:00+00,SC-630N (York County),R-VA099SC00630NB,  9900630     ,99-630 Amory Lane,99-621 Grafton Dr,US 17 George Washington Mem Hwy,3200,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.1,York County,,,778937,1,1,24000,SC-630N (York County) - ADT 3200,Hampton Roads,Hampton Roads,SC,2037136,,,222.858882169354
5912,746905,2017/03/02 05:00:00+00,SC-1820N (Isle of Wight County),R-VA046SC01820NB,  4601820     ,46-1820 Belmont St,US 258 Prince Blvd N,46-1822 Liberty St,640,R,,,,,,,X,,X,,,X,Bidirectional,0,Isle of Wight County,0.06,Isle of Wight County,,,746905,1,1,48000,SC-1820N (Isle of Wight County) - ADT 640,Hampton Roads,Hampton Roads,SC,1872331,,,143.871791590137
5915,746735,2017/03/10 05:00:00+00,SC-1006E (Isle of Wight County),R-VA046SC01006EB,  4601006     ,46-1006 Marina Rd,Dead End,46-1005,70,R,,,,,,,X,,X,,,X,Bidirectional,0,Isle of Wight County,0.1,Isle of Wight County,,,746735,1,1,24000,SC-1006E (Isle of Wight County) - ADT 70,Hampton Roads,Hampton Roads,SC,1871407,,,177.01387287644
5943,700572,2017/10/19 04:00:00+00,SC-830E (Accomack County),R-VA001SC00830EB,  0100830     ,01-830 Kearsage Circle,"01-832 W, Yorktown Dr",01-831 Yorktown Dr,110,R,,,,,,,X,,X,,,X,Bidirectional,0.013,Accomack County,0.199,Accomack County,,,700572,1,1,48000,SC-830E (Accomack County) - ADT 110,Hampton Roads,Hampton Roads,SC,1373023,,,382.245963213062
5972,771891,2018/01/24 05:00:00+00,SC-1306E (Southampton County),R-VA087SC01306EB,  8701306     ,87-1306 Virginia Ave,87-1310 Wilson St,87-1311 Marshall St,160,R,,,,,,,X,,X,,,X,Bidirectional,0.21,Southampton County,0.27,Southampton County,,,771891,1,1,48000,SC-1306E (Southampton County) - ADT 160,Hampton Roads,Hampton Roads,SC,1542750,,,151.602468223067
5973,747796,2016/04/27 04:00:00+00,SC-1555N (James City County),R-VA047SC01555NB,  4701555     ,47-1555 Mayfair Lane,47-1521 Buford Rd,47-1524 Hempstead Rd,470,R,,,,,,,X,,X,,,X,Bidirectional,0,James City County,0.13,James City County,,,747796,1,1,24000,SC-1555N (James City County) - ADT 470,Hampton Roads,Hampton Roads,SC,1865066,,,279.797022819958
5975,300001,2021/01/01 05:00:00+00,SC-600N (Accomack County),R-VA001SC00600NB,  0100600     ,01-600 Seaside Rd,SR 182 Quinby Bridge Rd,SR 180 Wachapreague Rd,420,G,95.95537,0.27894,0.83682,1.3947,1.53417,0,C,0.121,F,0.5,410,G,Bidirectional,3.68,Accomack County,6.78,Accomack County,0,0,300001,1,1,200000,SC-600N (Accomack County) - ADT 420,Hampton Roads,Hampton Roads,SC,1374046,,,6212.59720322989
5984,660629,2021/01/01 05:00:00+00,Lincoln ST (PR - City of Portsmouth),S-VA124PR LINCOLN ST,19368,124-8760 Lincoln St,Deep Creek Blvd,Effingham St,1300,G,98.08947,0.46598,1.00186,0.27959,0.1631,0,C,0.0784,F,0.5221,1400,G,Bidirectional,0.65,City of Portsmouth,1.68,City of Portsmouth,0.20776,0,660629,1,1,200000,Lincoln ST (PR - City of Portsmouth) - ADT 1300,Hampton Roads,Hampton Roads,ST,9151327,,,2085.51569262674
5988,654544,2021/01/01 05:00:00+00,Kimball TER (NP - City of Norfolk),S-VA122NP KIMBALL TER,36578,122-8639 Kimball Terrace,Brambleton Ave,Ballentine Blvd,3800,G,96.09314,0.68634,1.5533,0.93642,0.7308,0,F,0.1104,F,0.5958,4000,G,Master Non-Prime,0,City of Norfolk,0.04,City of Norfolk,0.36874,0.06072,654544,1,3,200000,Kimball TER (NP - City of Norfolk) - ADT 3800,Hampton Roads,Hampton Roads,ST,9127290,,,112.504915474518
6004,700655,2017/07/26 04:00:00+00,SC-1105E (Accomack County),R-VA001SC01105EB,  0101105     ,01-1105 Woodland Ave,"01-626 Main St; Airport Dr",01-1109 Lewis St,260,R,,,,,,,X,,X,,,X,Bidirectional,0,Accomack County,0.05,Accomack County,,,700655,1,1,48000,SC-1105E (Accomack County) - ADT 260,Hampton Roads,Hampton Roads,SC,1948343,,,112.62947359743
6010,747716,2016/05/02 04:00:00+00,SC-1507E (James City County),R-VA047SC01507EB,  4701507     ,47-1507 Forest Glen Dr,47-1532 DeLafayette Place,47-1535 Mildred Court,440,R,,,,,,,X,,X,,,X,Bidirectional,0.19,James City County,0.24,James City County,,,747716,1,1,48000,SC-1507E (James City County) - ADT 440,Hampton Roads,Hampton Roads,SC,1632330,,,106.928683761147
6039,747223,2016/03/01 05:00:00+00,SC-727E (James City County),R-VA047SC00727EB,  4700727     ,47-727 Oxford Rd,0.03 ME 47-717,47-734 Dover Rd,440,R,,,,,,,X,,X,,,X,Bidirectional,0.45,James City County,0.62,James City County,,,747223,1,1,24000,SC-727E (James City County) - ADT 440,Hampton Roads,Hampton Roads,SC,1758816,,,338.878561228862
6064,756323,2016/06/21 04:00:00+00,SC-600N (Northampton County),R-VA065SC00600NB,  6500600     ,65-600 Seaside Rd,65-718 Latimer Siding Rd,65-645 Cedar Grove Rd,360,R,,,,,,,X,,X,,,X,Bidirectional,1.75,Northampton County,3.1,Northampton County,,,756323,1,1,48000,SC-600N (Northampton County) - ADT 360,Hampton Roads,Hampton Roads,SC,1564797,,,2663.51118646399
6069,700975,2017/10/24 04:00:00+00,SC-2503E (Accomack County),R-VA001SC02503EB,  0102503     ,01-2503 Marshall St,SR 187 Shoremain Dr,01-2513 Pruitt St,70,R,,,,,,,X,,X,,,X,Bidirectional,0,Accomack County,0.067,Accomack County,,,700975,1,1,48000,SC-2503E (Accomack County) - ADT 70,Hampton Roads,Hampton Roads,SC,1373422,,,143.335849665771
6081,785519,2019/05/29 04:00:00+00,SC-1358E (York County),R-VA099SC01358EB,  9901358     ,99-1358 Jerdon Place,Cul-de-Sac,99-634 Old York Hampton Hwy,170,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.2,York County,,,785519,1,1,24000,SC-1358E (York County) - ADT 170,Hampton Roads,Hampton Roads,SC,1596612,,,409.805422678096
6100,700521,2017/09/22 04:00:00+00,SC-780N (Accomack County),R-VA001SC00780NB,  0100780     ,01-780 Marva Rd,01-710 Davis Rd,"US 13 Lankford Hwy; Maryland State Line",80,R,,,,,,,X,,X,,,X,Bidirectional,0,Accomack County,0.29,Accomack County,,,700521,1,1,48000,SC-780N (Accomack County) - ADT 80,Hampton Roads,Hampton Roads,SC,1948233,,,497.560714499429
6117,779745,2016/04/28 04:00:00+00,SC-1481E (York County),R-VA099SC01481EB,  9901481     ,99-1481 Hounds Chase,99-1484 Hedgerow Lane,99-1480 Foxwood Dr,840,R,,,,,,,X,,X,,,X,Bidirectional,0.13,York County,0.26,York County,,,779745,1,1,24000,SC-1481E (York County) - ADT 840,Hampton Roads,Hampton Roads,SC,1942079,,,418.549965150084
6126,746569,2017/05/02 04:00:00+00,SC-622N (Isle of Wight County),R-VA046SC00622NB,  4600622     ,46-622 Sycamore Cross Dr,"46-621 N, Proctors Bridge Rd",Surry County Line,120,R,,,,,,,X,,X,,,X,Bidirectional,2.19,Isle of Wight County,3.49,Isle of Wight County,,,746569,1,1,48000,SC-622N (Isle of Wight County) - ADT 120,Hampton Roads,Hampton Roads,SC,1638170,,,2616.41716845241
6131,746773,2014/09/10 04:00:00+00,SC-1187E (Isle of Wight County),R-VA046SC01187EB,  4601187     ,46-1187 Clipper Creek Circle,46-1185 Clipper Creek Lane,Cul-de-Sac,70,R,,,,,,,X,,X,,,X,Bidirectional,0,Isle of Wight County,0.06,Isle of Wight County,,,746773,1,1,24000,SC-1187E (Isle of Wight County) - ADT 70,Hampton Roads,Hampton Roads,SC,1639052,,,109.238286523129
6145,400148,2021/01/01 05:00:00+00,SC-616N (Southampton County),R-VA087SC00616NB,  8700616     ,87-616 Main St,SCL Ivor,87-622 Rawls Dr,2100,G,92.17867,0.63324,1.36916,1.36916,4.46689,0.01711,C,0.0962,F,0.5744,2000,G,Bidirectional,16.56,Southampton County,16.68,Southampton County,0.39442,0.19721,400148,1,1,200000,SC-616N (Southampton County) - ADT 2100,Hampton Roads,Hampton Roads,SC,1541996,,,251.869134126642
